protein_id,keywords,cluster
NC_023639.1_786,hypothetical protein,PC_127
NC_014649.1_206,hypothetical protein,PC_127
NC_044938.1_37,Bro6,PC_128
NC_044939.1_158,anti-repressor Ant,PC_128
NC_009233.1_147,anti-repressor Ant,PC_128
NC_044938.1_38,Bro7,PC_128
NC_044938.1_34,Bro2,PC_128
NC_044939.1_40,Bro6,PC_128
NC_009233.1_35,Bro2,PC_128
NC_044938.1_36,Bro4,PC_128
NC_044939.1_88,Bro10,PC_128
NC_009233.1_86,Bro9,PC_128
NC_044938.1_91,Bro9,PC_128
NC_009233.1_38,Bro5,PC_128
NC_044939.1_90,Bro11,PC_128
NC_044938.1_93,Bro10,PC_128
NC_044938.1_162,anti-repressor Ant,PC_128
NC_044939.1_39,Bro5,PC_128
NC_044938.1_165,Bro26,PC_128
NC_044939.1_41,Bro8,PC_128
NC_008518.1_147,anti-repressor,PC_128
NC_044939.1_160,Bro21,PC_128
NC_008518.1_32,hypothetical protein,PC_128
NC_008518.1_180,hypothetical protein,PC_128
NC_009233.1_150,anti-repressor Ant,PC_128
NC_009233.1_36,Bro3,PC_128
NC_008361.1_80,40.2 kDa BRO-like protein,PC_128
NC_044939.1_157,Bro22,PC_128
NC_009233.1_84,Bro7,PC_128
NC_008361.1_70,17 kDa,PC_128
NC_044938.1_164,Bro25,PC_128
NC_008361.1_81,12.4 kDa BRO-like protein,PC_128
NC_009233.1_85,Bro8,PC_128
NC_044939.1_94,Bro23,PC_128
NC_066642.1_75,Protein F15,PC_129
NC_055231.1_53,putative F15L protein,PC_129
NC_063383.1_46,Protein F15,PC_129
NC_003663.2_57,CPXV064 protein,PC_129
NC_001611.1_44,hypothetical protein,PC_129
NC_055230.1_58,hypothetical protein,PC_129
NC_031033.1_54,hypothetical protein,PC_129
NC_027213.1_51,hypothetical protein,PC_129
NC_031038.1_54,hypothetical protein,PC_129
NC_035468.1_52,hypothetical protein,PC_129
NC_015960.1_32,hypothetical protein,PC_129
NC_006966.1_38,hypothetical protein,PC_129
NC_035460.1_34,hypothetical protein,PC_129
NC_003389.1_28,hypothetical protein,PC_129
NC_035797.1_29,hypothetical protein,PC_129
NC_004002.1_26,hypothetical protein,PC_129
NC_004003.1_28,hypothetical protein,PC_129
NC_002642.1_31,29L protein,PC_129
NC_005179.1_23,hypothetical protein,PC_129
NC_032111.1_47,protein F15,PC_129
NC_030656.1_24,hypothetical protein,PC_129
NC_016924.1_47,hypothetical protein,PC_129
NC_024446.1_117,hypothetical protein,PC_129
NC_024447.1_114,hypothetical protein,PC_129
NC_002188.1_106,hypothetical protein,PC_129
NC_055228.1_30,F15L conserved protein,PC_129
NC_028238.1_85,hypothetical protein,PC_129
NC_036582.1_113,hypothetical protein,PC_129
NC_005309.1_132,hypothetical protein,PC_129
NC_037656.1_21,hypothetical protein,PC_129
NC_001132.2_24,hypothetical protein,PC_129
NC_001266.1_25,hypothetical protein,PC_129
NC_066642.1_80,Double-stranded RNA binding protein,PC_130
NC_006998.1_54,double-strand RNA-binding protein,PC_130
NC_008291.1_61,double-strand RNA-binding protein,PC_130
NC_003391.1_62,double-strand RNA-binding protein,PC_130
NC_001611.1_49,double-strand RNA-binding protein,PC_130
NC_003663.2_62,CPXV069 protein,PC_130
NC_055230.1_63,"Interferon resistance, PKR inhibitor",PC_130
NC_055231.1_58,putative E3L protein,PC_130
NC_004105.1_70,double-strand RNA-binding protein,PC_130
NC_063383.1_51,Double-stranded RNA binding protein,PC_130
NC_003310.1_59,Double-stranded RNA binding protein,PC_130
NC_031038.1_59,dsRNA-binding protein,PC_130
NC_027213.1_56,dsRNA binding protein,PC_130
NC_031033.1_59,dsRNA-binding protein,PC_130
NC_035469.1_54,dsRNA-binding protein IFN resistance/PKR inhibitor,PC_130
NC_035468.1_57,dsRNA-binding protein,PC_130
NC_015960.1_37,dsRNA-binding protein,PC_130
NC_006966.1_43,DsRNA binding PKR inhibitor,PC_130
NC_005179.1_28,double-strand RNA-binding protein,PC_130
NC_003027.1_34,double-strand RNA-binding protein,PC_130
NC_004002.1_31,double-strand RNA-binding protein,PC_130
NC_004003.1_33,double-strand RNA-binding protein,PC_130
NC_032111.1_55,protein E3,PC_130
NC_003389.1_33,double-strand RNA-binding protein,PC_130
NC_001132.2_29,m29L,PC_130
NC_001266.1_30,gp029L,PC_130
NC_016924.1_52,interferon resistance protein,PC_130
NC_022563.1_22,double-stranded RNA-binding protein-putative double-stranded RNA-dependent protein kinase (PKR) inhibitor,PC_130
NC_035797.1_36,dsRNA-binding protein IFN resistance/PKR inhibitor,PC_130
NC_002642.1_36,34L protein,PC_130
NC_035460.1_167,dsRNA binding PKR inhibitor,PC_130
NC_024451.1_194,Ribonuclease III,PC_130
NC_066642.1_146,S-S bond formation pathway protein,PC_131
NC_006998.1_117,S-S bond formation pathway,PC_131
NC_055231.1_121,putative EVM105 protein,PC_131
NC_003663.2_125,CPXV134 protein,PC_131
NC_008291.1_127,hypothetical protein,PC_131
NC_004105.1_133,EVM105,PC_131
NC_003391.1_126,CMLV119,PC_131
NC_063383.1_113,S-S bond formation pathway protein,PC_131
NC_031038.1_121,S-S bond formation pathway protein,PC_131
NC_031033.1_121,S-S bond formation pathway protein,PC_131
NC_055230.1_126,S-S bond formation pathway protein,PC_131
NC_027213.1_118,S-S bond formation pathway protein,PC_131
NC_035468.1_118,S-S bond formation pathway,PC_131
NC_015960.1_98,S-S bond formation pathway,PC_131
NC_001132.2_88,m91L,PC_131
NC_006966.1_103,hypothetical protein,PC_131
NC_001266.1_90,gp091L,PC_131
NC_035797.1_97,S-S bond formation pathway protein,PC_131
NC_002642.1_95,93L protein,PC_131
NC_035460.1_101,S-S bond formation pathway protein,PC_131
NC_005179.1_87,93L,PC_131
NC_002188.1_170,virus redox protein,PC_131
NC_036582.1_193,redox protein,PC_131
NC_004002.1_89,hypothetical protein,PC_131
NC_004003.1_91,hypothetical protein,PC_131
NC_030656.1_95,s-s bond formation pathway protein,PC_131
NC_037656.1_88,S-S bond formation pathway protein,PC_131
NC_032111.1_127,protein A2.5,PC_131
NC_005309.1_241,virus redox protein,PC_131
NC_028238.1_136,redox protein,PC_131
NC_016924.1_110,thioredoxin-like protein,PC_131
NC_003389.1_92,SPV090 hypothetical protein,PC_131
NC_066642.1_153,IMV membrane protein A9,PC_132
NC_003310.1_127,IMV membrane protein A9,PC_132
NC_006998.1_124,IMV membrane protein,PC_132
NC_063383.1_120,IMV membrane protein A9,PC_132
NC_001611.1_120,hypothetical protein,PC_132
NC_004105.1_140,EVM112,PC_132
NC_055231.1_128,putative A9L protein,PC_132
NC_008291.1_134,IMV membrane protein,PC_132
NC_003663.2_132,CPXV141 protein,PC_132
NC_003391.1_133,IMV membrane protein A9,PC_132
NC_055230.1_133,early morphogenesis protein,PC_132
NC_031038.1_128,viral membrane associated protein,PC_132
NC_031033.1_128,viral membrane associated protein,PC_132
NC_027213.1_125,Viral membrane associated early morphogenesis protein,PC_132
NC_035469.1_122,Viral membrane associated early morphogenesis protein,PC_132
NC_035468.1_125,essential In early morphogenesis,PC_132
NC_015960.1_105,essential In early morphogenesis,PC_132
NC_002642.1_102,100L protein,PC_132
NC_006966.1_110,IMV membrane protein,PC_132
NC_005179.1_94,100L,PC_132
NC_035460.1_108,"IMV membrane protein, early morphogenesis",PC_132
NC_035797.1_104,Viral membrane associated early morphogenesis protein,PC_132
NC_003027.1_99,LSDV100 putative IMV membrane protein,PC_132
NC_004002.1_96,IMV membrane protein,PC_132
NC_004003.1_98,hypothetical protein,PC_132
NC_001132.2_95,m98L,PC_132
NC_003389.1_99,SPV097 putative IMV membrane protein morphogenesis,PC_132
NC_037656.1_95,Viral membrane protein,PC_132
NC_030656.1_102,"viral membrane associated, early morphogenesis protein",PC_132
NC_001266.1_97,gp098L,PC_132
NC_016924.1_117,MV membrane protein,PC_132
NC_032111.1_134,virion membrane protein A9,PC_132
NC_036594.1_225,MORN-repeat protein,PC_133
NC_036594.1_249,MORN-repeat protein,PC_133
NC_036594.1_653,MORN-repeat protein,PC_133
NC_036594.1_1089,MORN-repeat protein,PC_133
NC_036594.1_709,MORN-repeat protein,PC_133
NC_036594.1_657,MORN-repeat protein,PC_133
NC_036594.1_1084,MORN-repeat protein,PC_133
NC_036594.1_647,MORN-repeat protein,PC_133
NC_036594.1_1090,MORN-repeat protein,PC_133
NC_036594.1_497,Hypothetical protein,PC_133
NC_036594.1_1087,MORN-repeat protein,PC_133
NC_036594.1_1065,MORN-repeat protein,PC_133
NC_036594.1_662,MORN-repeat protein,PC_133
NC_036594.1_1088,MORN-repeat protein,PC_133
NC_036594.1_240,MORN-repeat protein,PC_133
NC_036594.1_1083,MORN-repeat protein,PC_133
NC_036594.1_722,MORN-repeat protein,PC_133
NC_036594.1_1086,Hypothetical protein,PC_133
NC_036594.1_649,MORN-repeat protein,PC_133
NC_036594.1_230,MORN-repeat protein,PC_133
NC_036594.1_708,MORN-repeat protein,PC_133
NC_036594.1_705,MORN-repeat protein,PC_133
NC_036594.1_712,MORN-repeat protein,PC_133
NC_036594.1_710,MORN-repeat protein,PC_133
NC_036594.1_623,MORN-repeat protein,PC_133
NC_036594.1_656,MORN-repeat protein,PC_133
NC_036594.1_1131,Hypothetical protein,PC_133
NC_036594.1_654,hypothetical protein,PC_133
NC_036594.1_677,MORN-repeat protein,PC_133
NC_036594.1_717,MORN-repeat protein,PC_133
NC_036594.1_1064,MORN-repeat protein,PC_133
NC_036594.1_982,hypothetical protein,PC_133
NC_079139.1_587,glutamine-dependent asparagine synthetase,PC_134
NC_075035.1_522,glutamine-dependent asparagine synthetase,PC_134
NC_023639.1_299,glutamine-dependent asparagine synthetase,PC_134
NC_014649.1_528,glutamine-dependent asparagine synthetase,PC_134
NC_016072.1_426,glutamine-dependent asparagine synthetase,PC_134
NC_075034.1_409,glutamine-dependent asparagine synthetase,PC_134
NC_075368.1_386,asparagine synthase,PC_134
NC_075367.1_700,glutamine-dependent asparagine synthetase,PC_134
NC_020104.1_389,asparagine synthase,PC_134
NC_075037.1_616,synthase,PC_134
NC_075038.1_799,glutamine-dependent asparagine synthetase,PC_134
NC_075039.1_833,glutamine-dependent asparagine synthetase,PC_134
NC_077221.1_824,asparagine synthetase B,PC_134
NC_036594.1_346,Asparagine synthase,PC_134
NC_021312.1_332,asparagine synthetase B,PC_134
NC_014637.1_85,putative asparagine synthetase B,PC_134
NC_014766.1_35,hypothetical protein,PC_134
NC_077067.1_549,asparagine synthetase glutamine-hydrolyzing,PC_134
NC_028093.1_24,hypothetical protein,PC_134
NC_010191.2_27,putative asparagine synthetase B,PC_134
NC_013288.1_29,hypothetical protein,PC_134
NC_020864.1_28,asparagine synthetase,PC_134
NC_028092.1_33,hypothetical protein,PC_134
NC_014767.1_28,hypothetical protein,PC_134
NC_028094.1_393,asparagine synthetase B,PC_134
NC_037057.1_163,hypothetical protein,PC_134
NC_014789.1_23,putative asparagine synthetase,PC_134
NC_028091.1_27,hypothetical protein,PC_134
NC_043129.1_217,asparagine synthetase,PC_134
NC_075036.1_419,asparagine synthetase B,PC_134
NC_020852.1_245,asparagine synthetase,PC_134
NC_055603.1_108,core protein 5,PC_135
NC_033423.1_75,hypothetical protein,PC_135
NC_005902.1_106,hypothetical protein,PC_135
NC_003494.1_73,ORF086L,PC_135
NC_008361.1_89,25.6 kDa Uvr/REP helicase,PC_135
NC_044939.1_149,hypothetical protein,PC_135
NC_044938.1_149,hypothetical protein,PC_135
NC_011335.1_29,homing endonuclease,PC_135
NC_077218.1_172,hypothetical protein,PC_135
NC_077067.1_270,hypothetical protein,PC_135
NC_015780.1_105,hypothetical protein,PC_135
NC_023613.1_182,Uvr/REP helicase,PC_135
NC_023848.1_13,Uvr/REP helicase,PC_135
NC_055165.1_111,Uvr REP helicase,PC_135
NC_023611.1_170,Uvr/REP helicase,PC_135
NC_023615.1_170,Uvr/REP helicase,PC_135
NC_021901.1_163,Uvr/REP helicase,PC_135
NC_001824.1_9,hypothetical protein,PC_135
NC_043223.1_91,conserved putative nuclease,PC_135
NC_030230.1_316,putative nuclease,PC_135
NC_033775.1_186,transmembrane domain-containing protein,PC_135
NC_029692.1_303,putative nuclease,PC_135
NC_027778.1_27,ORF_024R,PC_135
NC_008187.1_35,hypothetical protein,PC_135
NC_024451.1_199,Uvr/REP helicase,PC_135
NC_003038.1_140,307L,PC_135
NC_015326.1_272,putative nuclease,PC_135
NC_031465.1_223,putative nuclease,PC_135
NC_038553.1_234,hypothetical protein,PC_135
NC_036594.1_77,hypothetical protein,PC_135
NC_036594.1_970,Putative helicase nuclease,PC_135
NC_066642.1_110,Late transcription factor VLTF-1,PC_136
NC_063383.1_78,Late transcription factor VLTF-1,PC_136
NC_003663.2_89,CPXV097 protein,PC_136
NC_055231.1_85,putative G8R protein,PC_136
NC_001611.1_77,late transcription factor VLTF-1,PC_136
NC_003391.1_90,late transcription factor VLTF-1,PC_136
NC_031033.1_86,vltf-1,PC_136
NC_035468.1_83,late transcription factor VLTF-1,PC_136
NC_015960.1_63,late transcription factor VLTF-1,PC_136
NC_004003.1_57,late transcription factor VLTF-1,PC_136
NC_004002.1_55,late transcription factor VLTF-1,PC_136
NC_002642.1_60,58R protein,PC_136
NC_005179.1_51,late transcription factor VLTF-1,PC_136
NC_035797.1_62,late transcription factor VLTF-1,PC_136
NC_006966.1_68,Late transcription factor VLTF-1,PC_136
NC_003389.1_57,late transcription factor VLTF-1,PC_136
NC_001132.2_51,late transcription factor VLTF-1,PC_136
NC_001266.1_53,late transcription factor VLTF-1,PC_136
NC_035460.1_65,late transcription factor,PC_136
NC_016924.1_74,viral late transcription factor VLTF-1,PC_136
NC_032111.1_84,late transcription factor 1,PC_136
NC_030656.1_62,viral late transcription factor,PC_136
NC_037656.1_57,VLTF-1,PC_136
NC_055229.1_56,VLTF-1,PC_136
NC_055228.1_57,VLTF-1,PC_136
NC_036582.1_143,late transcription factor 1,PC_136
NC_002188.1_127,late transcription factor VLTF-1,PC_136
NC_024447.1_136,VLTF-1,PC_136
NC_005309.1_171,late transcription factor VLTF-1,PC_136
NC_028238.1_101,late transcription factor VLTF-1,PC_136
NC_035188.1_36,late transcription factor VLTF-1-like protein,PC_136
NC_005902.1_54,DNA primase,PC_137
NC_055603.1_59,ATPase,PC_137
NC_033423.1_96,DNA primase,PC_137
NC_001824.1_67,DNA primase,PC_137
NC_055165.1_122,DNA primase,PC_137
NC_005946.1_19,DNA primase,PC_137
NC_028461.1_79,DNA primase,PC_137
NC_036594.1_1315,DNA primase,PC_137
NC_023848.1_25,DNA primase,PC_137
NC_023615.1_3,DNA primase,PC_137
NC_021901.1_3,DNA primase,PC_137
NC_023611.1_4,DNA primase,PC_137
NC_008187.1_130,DNA primase,PC_137
NC_005832.1_70,DNA primase,PC_137
NC_017940.1_84,DNA primase,PC_137
NC_038507.1_19,DNA primase,PC_137
NC_075538.1_76,D5 family NTPase/ATPase,PC_137
NC_030842.1_76,DNA primase,PC_137
NC_039034.1_73,DNA primase,PC_137
NC_030394.2_83,DNA primase,PC_137
NC_006549.1_44,DNA primase,PC_137
NC_003494.1_91,DNA primase,PC_137
NC_027778.1_44,DNA primase,PC_137
NC_023613.1_3,DNA primase,PC_137
NC_015780.1_121,DNA primase,PC_137
NC_024451.1_111,DNA primase,PC_137
NC_003038.1_82,DNA primase,PC_137
NC_011335.1_109,DNA primase,PC_137
NC_036594.1_1099,DNA primase,PC_137
NC_023848.1_24,D5 family helicase-primase,PC_137
NC_079139.1_529,lon protease-like protein,PC_138
NC_014649.1_291,lon protease-like protein,PC_138
NC_023639.1_61,lon protease-like protein,PC_138
NC_075035.1_287,lon protease-like protein,PC_138
NC_075037.1_679,bacterial type Lon protease,PC_138
NC_020104.1_318,"ATP-dependent Lon protease, bacterial type",PC_138
NC_075367.1_762,lon protease,PC_138
NC_075038.1_897,lon protease-like protein,PC_138
NC_075034.1_346,hypothetical protein,PC_138
NC_075039.1_934,lon protease-like protein,PC_138
NC_016072.1_362,lon protease-like protein,PC_138
NC_075368.1_327,bacterial type ATP-dependent Lon protease,PC_138
NC_077067.1_613,ATP-dependent lon protease,PC_138
NC_014637.1_248,putative Lon protease,PC_138
NC_075036.1_335,putative Lon protease,PC_138
NC_014637.1_494,putative Lon protease,PC_138
NC_077221.1_896,putative lon protease,PC_138
NC_024697.1_49,putative lon protease,PC_138
NC_077221.1_887,putative Lon protease,PC_138
NC_014637.1_43,putative Lon protease,PC_138
NC_075546.1_19,Intein containing ATP-dependent Lon peptidase,PC_138
NC_021312.1_267,ATP-dependent protease,PC_138
NC_075136.1_254,AAA family ATPase,PC_138
NC_075039.1_399,hypothetical protein,PC_138
NC_075038.1_376,hypothetical protein,PC_138
NC_028094.1_45,Intein containing ATP-dependent Lon peptidase,PC_138
NC_075546.1_260,ATP-dependent protease,PC_138
NC_028094.1_416,ATP-dependent Lon protease,PC_138
NC_075036.1_464,ATP-dependent Lon protease,PC_138
NC_075036.1_673,putative homing endonuclease,PC_138
NC_024451.1_1,delta DNA polymerase (B family),PC_139
NC_021901.1_1,d DNA polymerase (B family),PC_139
NC_023611.1_1,delta DNA polymerase (B family),PC_139
NC_055165.1_117,DNA polymerase,PC_139
NC_001824.1_70,DNA polymerase family B,PC_139
NC_008187.1_129,hypothetical protein,PC_139
NC_077218.1_180,hypothetical protein,PC_139
NC_015780.1_117,hypothetical protein,PC_139
NC_023848.1_54,archaeal DNA polymerase I,PC_139
NC_033423.1_120,DNA polymerase elongation subunit family B,PC_139
NC_011335.1_1,hypothetical protein,PC_139
NC_038507.1_49,DNA polymerase,PC_139
NC_055603.1_142,DNA polymerase elongation subunit family B,PC_139
NC_030842.1_38,DNA polymerase,PC_139
NC_030394.2_42,DNA polymerase,PC_139
NC_005946.1_51,DNA polymerase-like protein,PC_139
NC_005832.1_38,DNA polymerase,PC_139
NC_005902.1_138,DNA polymerase elongation subunit family B,PC_139
NC_006549.1_102,DNA polymerase,PC_139
NC_027778.1_77,ORF_070R,PC_139
NC_023615.1_1,DNA polymerase (B family),PC_139
NC_023613.1_1,delta DNA polymerase (B family),PC_139
NC_003038.1_12,037L,PC_139
NC_003494.1_18,putative DNA polymerase,PC_139
NC_008361.1_1,125.8 kDa Delta DNA Polymerase,PC_139
NC_044939.1_1,DNA polymerase,PC_139
NC_044938.1_1,DNA polymerase,PC_139
NC_009233.1_1,DNA polymerase,PC_139
NC_008518.1_1,DNA polymerase,PC_139
NC_043217.1_1,DNA polymerase,PC_139
NC_024451.1_84,anti-repressor Ant,PC_140
NC_015780.1_169,hypothetical protein,PC_140
NC_023613.1_31,hypothetical protein,PC_140
NC_021901.1_13,hypothetical protein,PC_140
NC_023615.1_14,hypothetical protein,PC_140
NC_023611.1_99,hypothetical protein,PC_140
NC_023611.1_14,hypothetical protein,PC_140
NC_021901.1_26,hypothetical protein,PC_140
NC_015780.1_133,hypothetical protein,PC_140
NC_023613.1_15,hypothetical protein,PC_140
NC_023615.1_161,hypothetical protein,PC_140
NC_023615.1_26,hypothetical protein,PC_140
NC_023611.1_26,hypothetical protein,PC_140
NC_003038.1_191,420R,PC_140
NC_023848.1_84,hypothetical protein,PC_140
NC_015780.1_64,hypothetical protein,PC_140
NC_021901.1_153,hypothetical protein,PC_140
NC_023613.1_169,hypothetical protein,PC_140
NC_023848.1_30,hypothetical protein,PC_140
NC_023848.1_155,hypothetical protein,PC_140
NC_023613.1_171,hypothetical protein,PC_140
NC_023615.1_112,hypothetical protein,PC_140
NC_021901.1_105,hypothetical protein,PC_140
NC_015780.1_93,hypothetical protein,PC_140
NC_024451.1_172,hypothetical protein,PC_140
NC_023613.1_89,hypothetical protein,PC_140
NC_021901.1_93,hypothetical protein,PC_140
NC_015780.1_148,hypothetical protein,PC_140
NC_015780.1_134,hypothetical protein,PC_140
NC_015780.1_149,hypothetical protein,PC_140
NC_075136.1_217,thymidylate kinase,PC_141
NC_005309.1_170,thymidylate kinase,PC_141
NC_003038.1_119,thymidylate kinase,PC_141
NC_076102.1_207,putative thymidylate kinase,PC_141
NC_016924.1_6,thymidylate kinase,PC_141
NC_032111.1_7,thymidylate kinase,PC_141
NC_021246.1_185,thymidylate kinase,PC_141
NC_055165.1_103,thymidylate kinase,PC_141
NC_036582.1_142,thymidylate kinase,PC_141
NC_024446.1_147,thymidylate kinase,PC_141
NC_024447.1_135,thymidylate kinase,PC_141
NC_055231.1_170,putative A48R protein,PC_141
NC_003310.1_171,Thymidylate kinase,PC_141
NC_063383.1_161,Thymidylate kinase,PC_141
NC_001611.1_166,hypothetical protein,PC_141
NC_004105.1_182,EVM147,PC_141
NC_066642.1_196,Thymidylate kinase,PC_141
NC_003663.2_174,CPXV186 protein,PC_141
NC_055230.1_174,thymidylate kinase,PC_141
NC_031033.1_169,thymidylate kinase,PC_141
NC_031038.1_168,thymidylate kinase,PC_141
NC_035460.1_151,thymidylate kinase,PC_141
NC_003391.1_175,CMLV169,PC_141
NC_027213.1_165,Thymidylate kinase,PC_141
NC_015960.1_142,thymidylate kinase,PC_141
NC_035468.1_166,thymidylate kinase,PC_141
NC_035469.1_165,thymidylate kinase,PC_141
NC_008291.1_177,thymidylate kinase,PC_141
NC_027778.1_95,ORF_089L,PC_141
NC_008291.1_178,Thymidylate kinase,PC_141
NC_075538.1_82,AAA-ATPase,PC_142
NC_030842.1_82,AAA-ATPase,PC_142
NC_039034.1_79,putative A32-like virion packaging ATPase,PC_142
NC_017940.1_91,putative A32-like virion packaging ATPase,PC_142
NC_038507.1_13,AAA-ATPase,PC_142
NC_028461.1_86,ABC-ATPase,PC_142
NC_005946.1_13,AAA-ATPase,PC_142
NC_005832.1_76,ATPase,PC_142
NC_006549.1_106,ATPase,PC_142
NC_055603.1_79,"virion assembly protein, NTPase",PC_142
NC_033423.1_56,"virion assembly protein, NTPase",PC_142
NC_005902.1_77,hypothetical protein,PC_142
NC_001824.1_29,"Virion assembly protein, NTPase",PC_142
NC_027778.1_39,ORF_035L,PC_142
NC_003494.1_103,putative adenosine triphosphatase,PC_142
NC_055165.1_127,ATpase 3,PC_142
NC_023615.1_144,ATPase 3,PC_142
NC_023611.1_142,ATPase 3,PC_142
NC_023613.1_155,ATPase 3,PC_142
NC_015780.1_81,hypothetical protein,PC_142
NC_023848.1_74,ATpase 3,PC_142
NC_008187.1_92,hypothetical protein,PC_142
NC_024451.1_108,ATPase 3,PC_142
NC_003038.1_29,075L,PC_142
NC_011335.1_100,hypothetical protein,PC_142
NC_077218.1_182,ATpase 3,PC_142
NC_008518.1_104,hypothetical protein,PC_142
NC_044938.1_112,ATPase,PC_142
NC_044939.1_112,ATPase,PC_142
NC_008361.1_121,44.8 kDa ATPase,PC_142
NC_077221.1_1192,"putative beta-1,4 galactosyltranferase",PC_143
NC_024697.1_284,"putative beta-1,4 galactosyltranferase",PC_143
NC_077221.1_1193,"putative beta-1,4 galactosyltranferase",PC_143
NC_021901.1_79,Putative tyrosine protein kinase,PC_143
NC_023611.1_85,Putative tyrosine protein kinase,PC_143
NC_023615.1_82,Putative tyrosine protein kinase,PC_143
NC_015780.1_17,hypothetical protein,PC_143
NC_023613.1_87,putative tyrosine protein kinase,PC_143
NC_023848.1_40,putative tyrosine protein kinase,PC_143
NC_003038.1_81,179R,PC_143
NC_055603.1_116,putative lipopolysaccharide-modifying enzyme protein,PC_143
NC_008187.1_37,hypothetical protein,PC_143
NC_005902.1_120,putative lipopolysaccharide-modifying enzyme,PC_143
NC_055165.1_97,tyrosine kinase,PC_143
NC_001824.1_110,hypothetical protein,PC_143
NC_033423.1_136,putative lipopolysaccharide-modifying enzyme protein,PC_143
NC_024451.1_25,putative tyrosine protein kinase,PC_143
NC_038507.1_25,putative tyrosine kinase,PC_143
NC_005946.1_24,putative tyrosine kinase,PC_143
NC_030842.1_56,putative tyrosine kinase,PC_143
NC_008518.1_64,hypothetical protein,PC_143
NC_030394.2_59,putative tyrosine kinase,PC_143
NC_044939.1_135,lipopolysaccharide-modifying enzyme,PC_143
NC_009233.1_124,lipopolysaccharide-modifying enzyme,PC_143
NC_044938.1_135,lipopolysaccharide- modifying enzyme,PC_143
NC_006549.1_65,tyrosine kinase,PC_143
NC_008361.1_102,104.6 Tyrosine protein kinase/Liposaccharide-modifying enzyme,PC_143
NC_001824.1_1,hypothetical protein,PC_143
NC_006549.1_66,tyrosine kinase,PC_143
NC_027778.1_41,ORF_O37R,PC_143
NC_066642.1_116,Membrane protein CL5,PC_144
NC_008291.1_97,IMV membrane protein,PC_144
NC_063383.1_84,Membrane protein CL5,PC_144
NC_003663.2_95,CPXV103 protein,PC_144
NC_055231.1_91,putative L5R protein,PC_144
NC_001611.1_83,hypothetical protein,PC_144
NC_055230.1_96,IMV entry and fusion protein,PC_144
NC_027213.1_89,Entry and Fusion IMV protein,PC_144
NC_031038.1_92,entry and fusion imv protein,PC_144
NC_031033.1_92,entry and fusion imv protein,PC_144
NC_035468.1_89,membrane protein,PC_144
NC_015960.1_69,membrane protein,PC_144
NC_004003.1_63,hypothetical protein,PC_144
NC_003027.1_64,LSDV064 putative membrane protein,PC_144
NC_004002.1_61,hypothetical protein,PC_144
NC_035797.1_68,entry and fusion imv protein,PC_144
NC_003389.1_63,SPV061 hypothetical protein,PC_144
NC_032111.1_90,protein L5,PC_144
NC_006966.1_74,Membrane protein,PC_144
NC_002642.1_66,64R protein,PC_144
NC_001266.1_59,gp059R,PC_144
NC_001132.2_57,m59R,PC_144
NC_035460.1_71,"IMV protein, entry/fusion",PC_144
NC_030656.1_68,entry/fusion imv membrane protein,PC_144
NC_016924.1_80,MV entry-fusion complex protein,PC_144
NC_037656.1_63,Entry/fusion IMV membrane protein,PC_144
NC_035188.1_42,putative membrane protein-like protein,PC_144
NC_005337.1_42,ORF051 putative membrane protein,PC_144
NC_005179.1_57,64R,PC_144
NC_025963.1_45,hypothetical protein,PC_144
NC_066642.1_130,Late protein H7,PC_145
NC_006998.1_101,hypothetical protein,PC_145
NC_055231.1_105,putative H7R protein,PC_145
NC_003663.2_109,CPXV117 protein,PC_145
NC_008291.1_111,hypothetical protein,PC_145
NC_003310.1_104,Late protein H7,PC_145
NC_003391.1_110,CMLV103,PC_145
NC_063383.1_97,Late protein H7,PC_145
NC_001611.1_97,hypothetical protein,PC_145
NC_004105.1_117,EVM089,PC_145
NC_055230.1_110,hypothetical protein,PC_145
NC_031038.1_105,crescent membrane and immature virion formation protein,PC_145
NC_031033.1_105,crescent membrane and immature virion formation protein,PC_145
NC_027213.1_102,Crescent membrane and immature virion formation,PC_145
NC_035468.1_102,hypothetical protein,PC_145
NC_035469.1_99,Crescent membrane and immature virion formation,PC_145
NC_015960.1_82,hypothetical protein,PC_145
NC_032111.1_108,late protein H7,PC_145
NC_004002.1_74,hypothetical protein,PC_145
NC_002642.1_80,78R protein,PC_145
NC_004003.1_76,hypothetical protein,PC_145
NC_003389.1_77,SPV075 hypothetical protein,PC_145
NC_035460.1_85,Crescent membrane/immature virion protein,PC_145
NC_006966.1_88,hypothetical protein,PC_145
NC_005179.1_72,78R,PC_145
NC_001266.1_74,gp075R,PC_145
NC_001132.2_72,m75R,PC_145
NC_016924.1_94,virus assembly crescent formation protein,PC_145
NC_035797.1_82,hypothetical protein,PC_145
NC_001731.1_71,MC088R,PC_145
NC_066642.1_174,Envelope protein A28 homolog,PC_146
NC_003663.2_152,CPXV163 Protein,PC_146
NC_055230.1_152,IMV membrane protein,PC_146
NC_055231.1_148,putative A28L protein,PC_146
NC_004105.1_160,EVM130,PC_146
NC_001611.1_141,hypothetical protein,PC_146
NC_063383.1_141,Envelope protein A28 homolog,PC_146
NC_008291.1_156,IMV membrane protein,PC_146
NC_003391.1_153,CMLV147,PC_146
NC_031038.1_147,imv mp/virus entry protein,PC_146
